
# metamind flat taxonomy

++ http://vital.ai/vital/metamind-app/157 "Tibetan terrier, chrysanthemum dog"

++ http://vital.ai/vital/metamind-app/158 "Arctic fox, white fox, Alopex lagopus"

++ http://vital.ai/vital/metamind-app/159 "wire-haired fox terrier"

++ http://vital.ai/vital/metamind-app/160 "basset, basset hound"

++ http://vital.ai/vital/metamind-app/161 "water buffalo, water ox, Asiatic buffalo, Bubalus bubalis"

++ http://vital.ai/vital/metamind-app/162 "American black bear, black bear, Ursus americanus, Euarctos americanus"

++ http://vital.ai/vital/metamind-app/163 "Angora, Angora rabbit"

++ http://vital.ai/vital/metamind-app/164 "bison"

++ http://vital.ai/vital/metamind-app/165 "howler monkey, howler"

++ http://vital.ai/vital/metamind-app/166 "hippopotamus, hippo, river horse, Hippopotamus amphibius"

++ http://vital.ai/vital/metamind-app/167 "chow, chow chow"

++ http://vital.ai/vital/metamind-app/168 "giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"

++ http://vital.ai/vital/metamind-app/169 "American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier"

++ http://vital.ai/vital/metamind-app/170 "Shetland sheepdog, Shetland sheep dog, Shetland"

++ http://vital.ai/vital/metamind-app/171 "Great Pyrenees"

++ http://vital.ai/vital/metamind-app/172 "Chihuahua"

++ http://vital.ai/vital/metamind-app/173 "tabby, tabby cat"

++ http://vital.ai/vital/metamind-app/174 "marmoset"

++ http://vital.ai/vital/metamind-app/175 "Labrador retriever"

++ http://vital.ai/vital/metamind-app/176 "Saint Bernard, St Bernard"

++ http://vital.ai/vital/metamind-app/177 "armadillo"

++ http://vital.ai/vital/metamind-app/178 "Samoyed, Samoyede"

++ http://vital.ai/vital/metamind-app/179 "bluetick"

++ http://vital.ai/vital/metamind-app/180 "redbone"

++ http://vital.ai/vital/metamind-app/181 "polecat, fitch, foulmart, foumart, Mustela putorius"

++ http://vital.ai/vital/metamind-app/182 "marmot"

++ http://vital.ai/vital/metamind-app/183 "kelpie"

++ http://vital.ai/vital/metamind-app/184 "gibbon, Hylobates lar"

++ http://vital.ai/vital/metamind-app/185 "llama"

++ http://vital.ai/vital/metamind-app/186 "miniature pinscher"

++ http://vital.ai/vital/metamind-app/187 "wood rabbit, cottontail, cottontail rabbit"

++ http://vital.ai/vital/metamind-app/188 "Italian greyhound"

++ http://vital.ai/vital/metamind-app/189 "lion, king of beasts, Panthera leo"

++ http://vital.ai/vital/metamind-app/190 "cocker spaniel, English cocker spaniel, cocker"

++ http://vital.ai/vital/metamind-app/191 "Irish setter, red setter"

++ http://vital.ai/vital/metamind-app/192 "dugong, Dugong dugon"

++ http://vital.ai/vital/metamind-app/193 "Indian elephant, Elephas maximus"

++ http://vital.ai/vital/metamind-app/194 "beaver"

++ http://vital.ai/vital/metamind-app/195 "Sussex spaniel"

++ http://vital.ai/vital/metamind-app/196 "Pembroke, Pembroke Welsh corgi"

++ http://vital.ai/vital/metamind-app/197 "Blenheim spaniel"

++ http://vital.ai/vital/metamind-app/198 "Madagascar cat, ring-tailed lemur, Lemur catta"

++ http://vital.ai/vital/metamind-app/199 "Rhodesian ridgeback"

++ http://vital.ai/vital/metamind-app/200 "lynx, catamount"

++ http://vital.ai/vital/metamind-app/201 "African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus"

++ http://vital.ai/vital/metamind-app/202 "langur"

++ http://vital.ai/vital/metamind-app/203 "Ibizan hound, Ibizan Podenco"

++ http://vital.ai/vital/metamind-app/204 "timber wolf, grey wolf, gray wolf, Canis lupus"

++ http://vital.ai/vital/metamind-app/205 "cheetah, chetah, Acinonyx jubatus"

++ http://vital.ai/vital/metamind-app/206 "English foxhound"

++ http://vital.ai/vital/metamind-app/207 "briard"

++ http://vital.ai/vital/metamind-app/208 "sloth bear, Melursus ursinus, Ursus ursinus"

++ http://vital.ai/vital/metamind-app/209 "Border terrier"

++ http://vital.ai/vital/metamind-app/210 "German shepherd, German shepherd dog, German police dog, alsatian"

++ http://vital.ai/vital/metamind-app/211 "otter"

++ http://vital.ai/vital/metamind-app/212 "koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"

++ http://vital.ai/vital/metamind-app/213 "tusker"

++ http://vital.ai/vital/metamind-app/214 "echidna, spiny anteater, anteater"

++ http://vital.ai/vital/metamind-app/215 "wallaby, brush kangaroo"

++ http://vital.ai/vital/metamind-app/216 "platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"

++ http://vital.ai/vital/metamind-app/217 "wombat"

++ http://vital.ai/vital/metamind-app/218 "revolver, six-gun, six-shooter"

++ http://vital.ai/vital/metamind-app/219 "umbrella"

++ http://vital.ai/vital/metamind-app/220 "schooner"

++ http://vital.ai/vital/metamind-app/221 "soccer ball"

++ http://vital.ai/vital/metamind-app/222 "accordion, piano accordion, squeeze box"

++ http://vital.ai/vital/metamind-app/223 "ant, emmet, pismire"

++ http://vital.ai/vital/metamind-app/224 "starfish, sea star"

++ http://vital.ai/vital/metamind-app/225 "chambered nautilus, pearly nautilus, nautilus"

++ http://vital.ai/vital/metamind-app/226 "grand piano, grand"

++ http://vital.ai/vital/metamind-app/227 "laptop, laptop computer"

++ http://vital.ai/vital/metamind-app/228 "strawberry"

++ http://vital.ai/vital/metamind-app/229 "airliner"

++ http://vital.ai/vital/metamind-app/230 "warplane, military plane"

++ http://vital.ai/vital/metamind-app/231 "airship, dirigible"

++ http://vital.ai/vital/metamind-app/232 "balloon"

++ http://vital.ai/vital/metamind-app/233 "space shuttle"

++ http://vital.ai/vital/metamind-app/234 "fireboat"

++ http://vital.ai/vital/metamind-app/235 "gondola"

++ http://vital.ai/vital/metamind-app/236 "speedboat"

++ http://vital.ai/vital/metamind-app/237 "lifeboat"

++ http://vital.ai/vital/metamind-app/238 "canoe"

++ http://vital.ai/vital/metamind-app/239 "yawl"

++ http://vital.ai/vital/metamind-app/240 "catamaran"

++ http://vital.ai/vital/metamind-app/241 "trimaran"

++ http://vital.ai/vital/metamind-app/242 "container ship, containership, container vessel"

++ http://vital.ai/vital/metamind-app/243 "liner, ocean liner"

++ http://vital.ai/vital/metamind-app/244 "pirate, pirate ship"

++ http://vital.ai/vital/metamind-app/245 "aircraft carrier, carrier, flattop, attack aircraft carrier"

++ http://vital.ai/vital/metamind-app/246 "submarine, pigboat, sub, U-boat"

++ http://vital.ai/vital/metamind-app/247 "wreck"

++ http://vital.ai/vital/metamind-app/248 "half track"

++ http://vital.ai/vital/metamind-app/249 "tank, army tank, armored combat vehicle, armoured combat vehicle"

++ http://vital.ai/vital/metamind-app/250 "missile"

++ http://vital.ai/vital/metamind-app/251 "bobsled, bobsleigh, bob"

++ http://vital.ai/vital/metamind-app/252 "dogsled, dog sled, dog sleigh"

++ http://vital.ai/vital/metamind-app/253 "bicycle-built-for-two, tandem bicycle, tandem"

++ http://vital.ai/vital/metamind-app/254 "mountain bike, all-terrain bike, off-roader"

++ http://vital.ai/vital/metamind-app/255 "freight car"

++ http://vital.ai/vital/metamind-app/256 "passenger car, coach, carriage"

++ http://vital.ai/vital/metamind-app/257 "barrow, garden cart, lawn cart, wheelbarrow"

++ http://vital.ai/vital/metamind-app/258 "shopping cart"

++ http://vital.ai/vital/metamind-app/259 "motor scooter, scooter"

++ http://vital.ai/vital/metamind-app/260 "forklift"

++ http://vital.ai/vital/metamind-app/261 "electric locomotive"

++ http://vital.ai/vital/metamind-app/262 "steam locomotive"

++ http://vital.ai/vital/metamind-app/263 "amphibian, amphibious vehicle"

++ http://vital.ai/vital/metamind-app/264 "ambulance"

++ http://vital.ai/vital/metamind-app/265 "beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon"

++ http://vital.ai/vital/metamind-app/266 "cab, hack, taxi, taxicab"

++ http://vital.ai/vital/metamind-app/267 "convertible"

++ http://vital.ai/vital/metamind-app/268 "jeep, landrover"

++ http://vital.ai/vital/metamind-app/269 "limousine, limo"

++ http://vital.ai/vital/metamind-app/270 "minivan"

++ http://vital.ai/vital/metamind-app/271 "Model T"

++ http://vital.ai/vital/metamind-app/272 "racer, race car, racing car"

++ http://vital.ai/vital/metamind-app/273 "sports car, sport car"

++ http://vital.ai/vital/metamind-app/274 "go-kart"

++ http://vital.ai/vital/metamind-app/275 "golfcart, golf cart"

++ http://vital.ai/vital/metamind-app/276 "moped"

++ http://vital.ai/vital/metamind-app/277 "snowplow, snowplough"

++ http://vital.ai/vital/metamind-app/278 "fire engine, fire truck"

++ http://vital.ai/vital/metamind-app/279 "garbage truck, dustcart"

++ http://vital.ai/vital/metamind-app/280 "pickup, pickup truck"

++ http://vital.ai/vital/metamind-app/281 "tow truck, tow car, wrecker"

++ http://vital.ai/vital/metamind-app/282 "trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"

++ http://vital.ai/vital/metamind-app/283 "moving van"

++ http://vital.ai/vital/metamind-app/284 "police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"

++ http://vital.ai/vital/metamind-app/285 "recreational vehicle, RV, R.V."

++ http://vital.ai/vital/metamind-app/286 "streetcar, tram, tramcar, trolley, trolley car"

++ http://vital.ai/vital/metamind-app/287 "snowmobile"

++ http://vital.ai/vital/metamind-app/288 "tractor"

++ http://vital.ai/vital/metamind-app/289 "mobile home, manufactured home"

++ http://vital.ai/vital/metamind-app/290 "tricycle, trike, velocipede"

++ http://vital.ai/vital/metamind-app/291 "unicycle, monocycle"

++ http://vital.ai/vital/metamind-app/292 "horse cart, horse-cart"

++ http://vital.ai/vital/metamind-app/293 "jinrikisha, ricksha, rickshaw"

++ http://vital.ai/vital/metamind-app/294 "oxcart"

++ http://vital.ai/vital/metamind-app/295 "bassinet"

++ http://vital.ai/vital/metamind-app/296 "cradle"

++ http://vital.ai/vital/metamind-app/297 "crib, cot"

++ http://vital.ai/vital/metamind-app/298 "four-poster"

++ http://vital.ai/vital/metamind-app/299 "bookcase"

++ http://vital.ai/vital/metamind-app/300 "china cabinet, china closet"

++ http://vital.ai/vital/metamind-app/301 "medicine chest, medicine cabinet"

++ http://vital.ai/vital/metamind-app/302 "chiffonier, commode"

++ http://vital.ai/vital/metamind-app/303 "table lamp"

++ http://vital.ai/vital/metamind-app/304 "file, file cabinet, filing cabinet"

++ http://vital.ai/vital/metamind-app/305 "park bench"

++ http://vital.ai/vital/metamind-app/306 "barber chair"

++ http://vital.ai/vital/metamind-app/307 "throne"

++ http://vital.ai/vital/metamind-app/308 "folding chair"

++ http://vital.ai/vital/metamind-app/309 "rocking chair, rocker"

++ http://vital.ai/vital/metamind-app/310 "studio couch, day bed"

++ http://vital.ai/vital/metamind-app/311 "toilet seat"

++ http://vital.ai/vital/metamind-app/312 "desk"

++ http://vital.ai/vital/metamind-app/313 "pool table, billiard table, snooker table"

++ http://vital.ai/vital/metamind-app/314 "dining table, board"

++ http://vital.ai/vital/metamind-app/315 "entertainment center"

++ http://vital.ai/vital/metamind-app/316 "wardrobe, closet, press"

++ http://vital.ai/vital/metamind-app/317 "Granny Smith"

++ http://vital.ai/vital/metamind-app/318 "orange"

++ http://vital.ai/vital/metamind-app/319 "lemon"

++ http://vital.ai/vital/metamind-app/320 "fig"

++ http://vital.ai/vital/metamind-app/321 "pineapple, ananas"

++ http://vital.ai/vital/metamind-app/322 "banana"

++ http://vital.ai/vital/metamind-app/323 "jackfruit, jak, jack"

++ http://vital.ai/vital/metamind-app/324 "custard apple"

++ http://vital.ai/vital/metamind-app/325 "pomegranate"

++ http://vital.ai/vital/metamind-app/326 "acorn"

++ http://vital.ai/vital/metamind-app/327 "hip, rose hip, rosehip"

++ http://vital.ai/vital/metamind-app/328 "ear, spike, capitulum"

++ http://vital.ai/vital/metamind-app/329 "rapeseed"

++ http://vital.ai/vital/metamind-app/330 "corn"

++ http://vital.ai/vital/metamind-app/331 "buckeye, horse chestnut, conker"

++ http://vital.ai/vital/metamind-app/332 "organ, pipe organ"

++ http://vital.ai/vital/metamind-app/333 "upright, upright piano"

++ http://vital.ai/vital/metamind-app/334 "chime, bell, gong"

++ http://vital.ai/vital/metamind-app/335 "drum, membranophone, tympan"

++ http://vital.ai/vital/metamind-app/336 "gong, tam-tam"

++ http://vital.ai/vital/metamind-app/337 "maraca"

++ http://vital.ai/vital/metamind-app/338 "marimba, xylophone"

++ http://vital.ai/vital/metamind-app/339 "steel drum"

++ http://vital.ai/vital/metamind-app/340 "banjo"

++ http://vital.ai/vital/metamind-app/341 "cello, violoncello"

++ http://vital.ai/vital/metamind-app/342 "violin, fiddle"

++ http://vital.ai/vital/metamind-app/343 "harp"

++ http://vital.ai/vital/metamind-app/344 "acoustic guitar"

++ http://vital.ai/vital/metamind-app/345 "electric guitar"

++ http://vital.ai/vital/metamind-app/346 "cornet, horn, trumpet, trump"

++ http://vital.ai/vital/metamind-app/347 "French horn, horn"

++ http://vital.ai/vital/metamind-app/348 "trombone"

++ http://vital.ai/vital/metamind-app/349 "harmonica, mouth organ, harp, mouth harp"

++ http://vital.ai/vital/metamind-app/350 "ocarina, sweet potato"

++ http://vital.ai/vital/metamind-app/351 "panpipe, pandean pipe, syrinx"

++ http://vital.ai/vital/metamind-app/352 "bassoon"

++ http://vital.ai/vital/metamind-app/353 "oboe, hautboy, hautbois"

++ http://vital.ai/vital/metamind-app/354 "sax, saxophone"

++ http://vital.ai/vital/metamind-app/355 "flute, transverse flute"

++ http://vital.ai/vital/metamind-app/356 "daisy"

++ http://vital.ai/vital/metamind-app/357 "yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum"

++ http://vital.ai/vital/metamind-app/358 "cliff, drop, drop-off"

++ http://vital.ai/vital/metamind-app/359 "valley, vale"

++ http://vital.ai/vital/metamind-app/360 "alp"

++ http://vital.ai/vital/metamind-app/361 "volcano"

++ http://vital.ai/vital/metamind-app/362 "promontory, headland, head, foreland"

++ http://vital.ai/vital/metamind-app/363 "sandbar, sand bar"

++ http://vital.ai/vital/metamind-app/364 "coral reef"

++ http://vital.ai/vital/metamind-app/365 "lakeside, lakeshore"

++ http://vital.ai/vital/metamind-app/366 "seashore, coast, seacoast, sea-coast"

++ http://vital.ai/vital/metamind-app/367 "geyser"

++ http://vital.ai/vital/metamind-app/368 "hatchet"

++ http://vital.ai/vital/metamind-app/369 "cleaver, meat cleaver, chopper"

++ http://vital.ai/vital/metamind-app/370 "letter opener, paper knife, paperknife"

++ http://vital.ai/vital/metamind-app/371 "plane, carpenter's plane, woodworking plane"

++ http://vital.ai/vital/metamind-app/372 "power drill"

++ http://vital.ai/vital/metamind-app/373 "lawn mower, mower"

++ http://vital.ai/vital/metamind-app/374 "hammer"

++ http://vital.ai/vital/metamind-app/375 "corkscrew, bottle screw"

++ http://vital.ai/vital/metamind-app/376 "can opener, tin opener"

++ http://vital.ai/vital/metamind-app/377 "plunger, plumber's helper"

++ http://vital.ai/vital/metamind-app/378 "screwdriver"

++ http://vital.ai/vital/metamind-app/379 "shovel"

++ http://vital.ai/vital/metamind-app/380 "plow, plough"

++ http://vital.ai/vital/metamind-app/381 "chain saw, chainsaw"

++ http://vital.ai/vital/metamind-app/382 "cock"

++ http://vital.ai/vital/metamind-app/383 "hen"

++ http://vital.ai/vital/metamind-app/384 "ostrich, Struthio camelus"

++ http://vital.ai/vital/metamind-app/385 "brambling, Fringilla montifringilla"

++ http://vital.ai/vital/metamind-app/386 "goldfinch, Carduelis carduelis"

++ http://vital.ai/vital/metamind-app/387 "house finch, linnet, Carpodacus mexicanus"

++ http://vital.ai/vital/metamind-app/388 "junco, snowbird"

++ http://vital.ai/vital/metamind-app/389 "indigo bunting, indigo finch, indigo bird, Passerina cyanea"

++ http://vital.ai/vital/metamind-app/390 "robin, American robin, Turdus migratorius"

++ http://vital.ai/vital/metamind-app/391 "bulbul"

++ http://vital.ai/vital/metamind-app/392 "jay"

